app,func,end_timestamp,duration,start_timestamp,fragments
13,4,1117653.0030920506,30.023,1117622.9800920505,24
13,4,1117653.0030920506,30.007,1117622.9960920506,24
13,4,1117653.172127962,30.022,1117623.150127962,24
13,4,1117653.172127962,30.022,1117623.150127962,24
11,4,1117653.339262009,30.048,1117623.291262009,24
11,4,1117653.339262009,30.048,1117623.291262009,24
11,4,1117653.706635952,30.04,1117623.666635952,24
11,4,1117653.706635952,30.04,1117623.666635952,24
11,4,1117653.7993490696,30.026,1117623.7733490695,24
11,4,1117653.7993490696,30.026,1117623.7733490695,24
11,4,1117654.0795829296,30.052,1117624.0275829297,24
11,4,1117654.0795829296,30.052,1117624.0275829297,24
13,4,1117654.126709938,30.037,1117624.089709938,24
13,4,1117654.126709938,30.037,1117624.089709938,24
11,4,1117654.2420620918,30.02,1117624.2220620918,24
11,4,1117654.2420620918,30.02,1117624.2220620918,24
13,4,1117654.532490015,30.039,1117624.493490015,24
13,4,1117654.532490015,30.039,1117624.493490015,24
11,4,1117654.5442678928,30.025,1117624.519267893,24
11,4,1117654.5442678928,30.025,1117624.519267893,24
13,4,1117654.5820848942,30.049,1117624.533084894,24
13,4,1117654.564043045,30.03,1117624.534043045,24
13,4,1117654.6418709755,30.055,1117624.5868709756,24
13,4,1117654.6418709755,30.055,1117624.5868709756,24
11,1,1117627.1824409962,0.018,1117627.1644409962,1
11,1,1117627.1824409962,0.018,1117627.1644409962,1
11,4,1117657.743908882,30.038,1117627.705908882,24
11,4,1117657.743908882,30.038,1117627.705908882,24
11,4,1117657.7587270737,30.047,1117627.7117270736,24
11,4,1117657.7587270737,30.047,1117627.7117270736,24
11,4,1117657.7750880718,30.045,1117627.730088072,24
11,4,1117657.7750880718,30.045,1117627.730088072,24
11,4,1117657.9610168934,30.02,1117627.9410168934,24
11,4,1117657.9610168934,30.02,1117627.9410168934,24
11,1,1117628.1459379196,0.017,1117628.1289379196,1
11,1,1117628.1459379196,0.017,1117628.1289379196,1
13,4,1117658.4357230663,30.048,1117628.3877230664,24
13,4,1117658.4357230663,30.048,1117628.3877230664,24
11,4,1117658.5323460102,30.044,1117628.4883460102,24
11,4,1117658.5323460102,30.044,1117628.4883460102,24
13,4,1117658.586400032,30.027,1117628.559400032,24
13,4,1117658.586400032,30.027,1117628.559400032,24
13,4,1117659.71737504,30.039,1117629.67837504,24
13,4,1117659.71737504,30.039,1117629.67837504,24
11,4,1117660.0931870935,30.027,1117630.0661870935,24
11,4,1117660.0931870935,30.027,1117630.0661870935,24
11,4,1117661.5062849522,30.016,1117631.490284952,24
11,4,1117661.5062849522,30.016,1117631.490284952,24
13,4,1117661.6126029491,30.024,1117631.5886029492,24
13,4,1117661.6126029491,30.024,1117631.5886029492,24
11,4,1117661.8241200447,30.041,1117631.7831200447,24
11,4,1117661.8241200447,30.041,1117631.7831200447,24
11,4,1117661.9352109432,30.024,1117631.9112109432,24
11,4,1117661.9352109432,30.024,1117631.9112109432,24
11,4,1117662.065979004,30.043,1117632.0229790038,24
11,4,1117662.065979004,30.027,1117632.038979004,24
11,4,1117662.7585361004,30.005,1117632.7535361005,24
11,4,1117662.7585361004,30.005,1117632.7535361005,24
11,4,1117663.2841451168,30.028,1117633.2561451169,24
11,4,1117663.2841451168,30.028,1117633.2561451169,24
13,4,1117663.3646979332,30.051,1117633.3136979332,24
13,4,1117663.3646979332,30.051,1117633.3136979332,24
11,4,1117663.473651886,30.021,1117633.452651886,24
11,4,1117663.473651886,30.021,1117633.452651886,24
11,4,1117663.5448670387,30.076,1117633.4688670388,24
11,4,1117663.5448670387,30.076,1117633.4688670388,24
11,4,1117663.6522359848,30.173,1117633.4792359849,24
11,4,1117663.6522359848,30.032,1117633.620235985,24
11,4,1117664.0468719006,30.051,1117633.9958719006,24
11,4,1117664.0468719006,30.035,1117634.0118719006,24
11,4,1117664.8528020382,30.043,1117634.8098020381,24
11,4,1117664.8528020382,30.043,1117634.8098020381,24
11,4,1117665.1417980194,30.04,1117635.1017980194,24
11,4,1117665.1417980194,30.04,1117635.1017980194,24
11,4,1117665.1592741013,30.037,1117635.1222741012,24
11,4,1117665.1592741013,30.037,1117635.1222741012,24
11,4,1117665.1632130146,30.036,1117635.1272130145,24
11,4,1117665.1632130146,30.022,1117635.1412130145,24
13,4,1117665.192028999,30.035,1117635.1570289992,24
13,4,1117665.192028999,30.035,1117635.1570289992,24
13,4,1117665.2100949287,30.053,1117635.1570949287,24
13,4,1117665.2100949287,30.053,1117635.1570949287,24
11,4,1117665.296840906,30.02,1117635.276840906,24
11,4,1117665.296840906,30.02,1117635.276840906,24
13,4,1117665.46290493,30.049,1117635.41390493,24
13,4,1117665.46290493,30.049,1117635.41390493,24
11,4,1117665.4843530655,30.02,1117635.4643530655,24
11,4,1117665.4843530655,30.02,1117635.4643530655,24
13,4,1117665.5878789425,30.086,1117635.5018789426,24
13,4,1117665.5878789425,30.086,1117635.5018789426,24
11,4,1117665.5655488968,30.033,1117635.5325488967,24
13,4,1117665.5528159142,30.01,1117635.5428159141,24
13,4,1117665.5528159142,30.01,1117635.5428159141,24
11,4,1117665.5655488968,30.017,1117635.5485488968,24
13,4,1117665.568566084,30.02,1117635.548566084,24
13,4,1117665.568566084,30.02,1117635.548566084,24
11,4,1117665.7882390022,30.022,1117635.766239002,24
11,4,1117665.7882390022,30.022,1117635.766239002,24
11,4,1117665.8936738968,30.078,1117635.8156738968,24
13,4,1117665.854295969,30.031,1117635.823295969,24
13,4,1117665.854295969,30.031,1117635.823295969,24
11,4,1117665.8936738968,30.063,1117635.8306738967,24
13,4,1117665.9279589653,30.036,1117635.8919589652,24
13,4,1117665.9279589653,30.036,1117635.8919589652,24
13,4,1117665.9837579727,30.029,1117635.9547579726,24
13,4,1117665.9837579727,30.029,1117635.9547579726,24
11,4,1117666.0030519962,30.046,1117635.9570519961,24
11,4,1117666.0030519962,30.046,1117635.9570519961,24
11,4,1117665.997665882,30.039,1117635.958665882,24
11,4,1117665.997665882,30.039,1117635.958665882,24
13,4,1117666.0206420422,30.061,1117635.9596420422,24
13,4,1117666.0206420422,30.061,1117635.9596420422,24
13,4,1117666.0852251053,30.024,1117636.0612251053,24
13,4,1117666.0852251053,30.024,1117636.0612251053,24
13,4,1117666.133268118,30.016,1117636.1172681178,24
13,4,1117666.133268118,30.016,1117636.1172681178,24
11,4,1117666.149317026,30.028,1117636.121317026,24
11,4,1117666.149317026,30.028,1117636.121317026,24
11,4,1117666.2082149982,30.084,1117636.1242149982,24
11,4,1117666.2082149982,30.084,1117636.1242149982,24
11,4,1117666.1874890327,30.062,1117636.1254890328,24
11,4,1117666.1718649864,30.046,1117636.1258649863,24
13,4,1117666.2237861156,30.024,1117636.1997861157,24
13,4,1117666.2237861156,30.024,1117636.1997861157,24
13,4,1117666.2452030182,30.039,1117636.206203018,24
13,4,1117666.2452030182,30.039,1117636.206203018,24
13,4,1117666.3351020813,30.038,1117636.2971020814,24
13,4,1117666.3351020813,30.038,1117636.2971020814,24
13,4,1117666.3486349585,30.037,1117636.3116349585,24
13,4,1117666.3486349585,30.037,1117636.3116349585,24
11,4,1117666.3605968952,30.025,1117636.3355968953,24
11,4,1117666.3605968952,30.025,1117636.3355968953,24
13,4,1117666.4591228962,30.104,1117636.3551228961,24
13,4,1117666.4591228962,30.104,1117636.3551228961,24
13,4,1117666.398749113,30.037,1117636.361749113,24
13,4,1117666.398749113,30.037,1117636.361749113,24
11,4,1117666.4426050186,30.022,1117636.4206050185,24
11,4,1117666.4426050186,30.022,1117636.4206050185,24
13,4,1117666.5382590294,30.1,1117636.4382590293,24
13,4,1117666.5382590294,30.1,1117636.4382590293,24
11,4,1117666.4758861065,30.02,1117636.4558861065,24
11,4,1117666.4758861065,30.02,1117636.4558861065,24
11,4,1117666.5382590294,30.037,1117636.5012590294,24
11,4,1117666.5382590294,30.037,1117636.5012590294,24
13,4,1117666.5464549065,30.042,1117636.5044549066,24
13,4,1117666.5464549065,30.026,1117636.5204549064,24
13,4,1117666.569493055,30.036,1117636.533493055,24
13,4,1117666.569493055,30.02,1117636.549493055,24
13,4,1117666.7495880127,30.026,1117636.7235880126,24
13,4,1117666.7495880127,30.026,1117636.7235880126,24
11,4,1117666.819587946,30.022,1117636.7975879458,24
11,4,1117666.819587946,30.022,1117636.7975879458,24
13,4,1117666.8444929123,30.045,1117636.7994929124,24
13,4,1117666.8281989098,30.013,1117636.8151989097,24
11,4,1117666.9187939167,30.034,1117636.8847939167,24
11,4,1117666.9187939167,30.034,1117636.8847939167,24
13,4,1117666.951734066,30.02,1117636.931734066,24
13,4,1117666.951734066,30.02,1117636.931734066,24
11,4,1117667.0712270737,30.13,1117636.9412270738,24
11,4,1117667.0712270737,30.13,1117636.9412270738,24
11,4,1117666.9928588867,30.031,1117636.9618588868,24
11,4,1117666.9928588867,30.031,1117636.9618588868,24
11,4,1117667.0520079136,30.037,1117637.0150079136,24
11,4,1117667.0520079136,30.037,1117637.0150079136,24
11,4,1117667.1281309128,30.033,1117637.0951309127,24
11,4,1117667.173821926,30.07,1117637.1038219258,24
11,4,1117667.1281309128,30.017,1117637.1111309128,24
11,4,1117667.173821926,30.055,1117637.118821926,24
13,4,1117667.1622769833,30.025,1117637.1372769834,24
13,4,1117667.1622769833,30.025,1117637.1372769834,24
11,4,1117667.3976769447,30.022,1117637.3756769446,24
11,4,1117667.3976769447,30.022,1117637.3756769446,24
13,4,1117667.4758028984,30.022,1117637.4538028983,24
13,4,1117667.4758028984,30.022,1117637.4538028983,24
11,4,1117667.5343549252,30.032,1117637.5023549253,24
11,4,1117667.5343549252,30.032,1117637.5023549253,24
11,4,1117667.5987360475,30.022,1117637.5767360474,24
11,4,1117667.5987360475,30.022,1117637.5767360474,24
13,4,1117667.6400721073,30.029,1117637.6110721072,24
13,4,1117667.6400721073,30.029,1117637.6110721072,24
13,4,1117667.6634058952,30.038,1117637.6254058953,24
11,4,1117667.6593720913,30.032,1117637.6273720914,24
11,4,1117667.6593720913,30.032,1117637.6273720914,24
13,4,1117667.6634058952,30.021,1117637.6424058953,24
11,4,1117668.0394079683,30.023,1117638.0164079682,24
11,4,1117668.0394079683,30.023,1117638.0164079682,24
11,4,1117668.1237618923,30.023,1117638.1007618923,24
11,4,1117668.1237618923,30.023,1117638.1007618923,24
13,4,1117668.602447033,30.039,1117638.5634470328,24
13,4,1117668.602447033,30.039,1117638.5634470328,24
11,4,1117668.7116229534,30.048,1117638.6636229535,24
11,4,1117668.7116229534,30.048,1117638.6636229535,24
11,4,1117668.7713179588,30.031,1117638.7403179589,24
11,4,1117668.7713179588,30.031,1117638.7403179589,24
13,4,1117668.8363199234,30.054,1117638.7823199234,24
13,4,1117668.8363199234,30.054,1117638.7823199234,24
13,4,1117668.8531360626,30.025,1117638.8281360627,24
13,4,1117668.8531360626,30.025,1117638.8281360627,24
11,4,1117668.87342,30.019,1117638.85442,24
11,4,1117668.87342,30.019,1117638.85442,24
11,4,1117668.9514110088,30.038,1117638.913411009,24
11,4,1117668.9514110088,30.038,1117638.913411009,24
11,4,1117669.0212481022,30.03,1117638.9912481022,24
11,4,1117669.0212481022,30.03,1117638.9912481022,24
13,4,1117669.070763111,30.038,1117639.0327631112,24
13,4,1117669.070763111,30.038,1117639.0327631112,24
13,4,1117669.185837984,30.049,1117639.136837984,24
13,4,1117669.185837984,30.049,1117639.136837984,24
11,4,1117669.2036590576,30.04,1117639.1636590576,24
11,4,1117669.2036590576,30.04,1117639.1636590576,24
13,4,1117669.255589962,30.043,1117639.212589962,24
13,4,1117669.255589962,30.043,1117639.212589962,24
11,4,1117669.2583100796,30.04,1117639.2183100795,24
11,4,1117669.273885965,30.055,1117639.2188859652,24
11,4,1117669.2599170208,30.035,1117639.2249170209,24
11,4,1117669.2599170208,30.035,1117639.2249170209,24
11,4,1117669.4098670485,30.033,1117639.3768670484,24
11,4,1117669.4098670485,30.033,1117639.3768670484,24
11,4,1117669.425082922,30.03,1117639.395082922,24
11,4,1117669.425082922,30.03,1117639.395082922,24
11,4,1117669.5090460775,30.033,1117639.4760460774,24
11,4,1117669.5090460775,30.033,1117639.4760460774,24
11,4,1117669.6645081043,30.023,1117639.6415081043,24
11,4,1117669.6645081043,30.023,1117639.6415081043,24
11,4,1117669.9431319237,30.249,1117639.6941319236,24
11,4,1117669.95875597,30.264,1117639.69475597,24
11,4,1117669.9900159836,30.249,1117639.7410159835,24
11,4,1117669.9770460129,30.236,1117639.7410460128,24
13,4,1117669.9049210548,30.02,1117639.8849210548,24
13,4,1117669.9049210548,30.02,1117639.8849210548,24
13,4,1117669.9875319004,30.038,1117639.9495319005,24
13,4,1117669.9875319004,30.038,1117639.9495319005,24
11,4,1117670.1302890778,30.029,1117640.1012890777,24
11,4,1117670.1302890778,30.029,1117640.1012890777,24
11,4,1117670.161087036,30.028,1117640.133087036,24
11,4,1117670.161087036,30.028,1117640.133087036,24
11,4,1117670.243719101,30.02,1117640.223719101,24
11,4,1117670.243719101,30.02,1117640.223719101,24
13,4,1117670.2718729973,30.03,1117640.2418729973,24
13,4,1117670.2718729973,30.03,1117640.2418729973,24
11,4,1117670.2739889622,30.031,1117640.2429889622,24
11,4,1117670.2739889622,30.031,1117640.2429889622,24
11,4,1117670.281841993,30.024,1117640.2578419931,24
11,4,1117670.281841993,30.024,1117640.2578419931,24
11,4,1117670.279731989,30.019,1117640.2607319888,24
11,4,1117670.279731989,30.019,1117640.2607319888,24
11,4,1117670.2866289616,30.013,1117640.2736289615,24
11,4,1117670.2866289616,30.013,1117640.2736289615,24
11,4,1117670.344347,30.024,1117640.320347,24
11,4,1117670.344347,30.024,1117640.320347,24
13,4,1117670.839055061,30.073,1117640.766055061,24
13,4,1117670.839055061,30.056,1117640.783055061,24
13,4,1117670.8908510208,30.028,1117640.8628510209,24
13,4,1117670.8908510208,30.028,1117640.8628510209,24
11,4,1117671.1882588863,30.037,1117641.1512588863,24
11,4,1117671.1882588863,30.021,1117641.1672588864,24
11,4,1117671.258300066,30.023,1117641.235300066,24
11,4,1117671.258300066,30.023,1117641.235300066,24
11,4,1117671.298887968,30.029,1117641.269887968,24
11,4,1117671.298887968,30.029,1117641.269887968,24
11,4,1117671.337568045,30.02,1117641.3175680449,24
11,4,1117671.337568045,30.02,1117641.3175680449,24
11,4,1117671.6488740444,30.109,1117641.5398740445,24
11,4,1117671.6488740444,30.109,1117641.5398740445,24
11,4,1117672.0454330444,30.019,1117642.0264330443,24
11,4,1117672.0454330444,30.019,1117642.0264330443,24
11,4,1117672.0873749256,30.033,1117642.0543749256,24
11,4,1117672.0873749256,30.033,1117642.0543749256,24
11,4,1117672.526902914,30.023,1117642.503902914,24
11,4,1117672.526902914,30.023,1117642.503902914,24
11,4,1117672.74781394,30.029,1117642.71881394,24
11,4,1117672.74781394,30.029,1117642.71881394,24
11,4,1117673.1447999475,30.01,1117643.1347999475,24
11,4,1117673.1447999475,30.01,1117643.1347999475,24
13,4,1117673.2821919918,30.028,1117643.2541919919,24
13,4,1117673.2821919918,30.028,1117643.2541919919,24
11,4,1117673.3990221024,30.023,1117643.3760221023,24
11,4,1117673.3990221024,30.023,1117643.3760221023,24
11,4,1117673.5405480862,30.033,1117643.507548086,24
11,4,1117673.5405480862,30.017,1117643.5235480862,24
13,4,1117674.0646960735,30.052,1117644.0126960736,24
13,4,1117674.0646960735,30.037,1117644.0276960735,24
11,4,1117674.136132002,30.058,1117644.0781320021,24
11,4,1117674.136132002,30.058,1117644.0781320021,24
13,4,1117674.227205038,30.038,1117644.1892050381,24
13,4,1117674.227205038,30.038,1117644.1892050381,24
13,4,1117674.2725360394,30.054,1117644.2185360393,24
13,4,1117674.2725360394,30.054,1117644.2185360393,24
13,4,1117674.3691940308,30.024,1117644.3451940308,24
13,4,1117674.3691940308,30.024,1117644.3451940308,24
13,4,1117674.7909760475,30.119,1117644.6719760476,24
13,4,1117674.7909760475,30.119,1117644.6719760476,24
13,4,1117674.7924079895,30.103,1117644.6894079896,24
13,4,1117674.7924079895,30.103,1117644.6894079896,24
13,4,1117674.9003880024,30.056,1117644.8443880023,24
13,4,1117674.9003880024,30.041,1117644.8593880024,24
13,4,1117675.2431869507,30.024,1117645.2191869507,24
13,4,1117675.2431869507,30.024,1117645.2191869507,24
11,4,1117675.5375208857,30.026,1117645.5115208856,24
11,4,1117675.5375208857,30.026,1117645.5115208856,24
11,4,1117675.5652360916,30.037,1117645.5282360916,24
11,4,1117675.5652360916,30.037,1117645.5282360916,24
13,4,1117675.5394070148,30.011,1117645.528407015,24
13,4,1117675.5394070148,30.011,1117645.528407015,24
11,4,1117675.7113289833,30.014,1117645.6973289833,24
11,4,1117675.7113289833,30.014,1117645.6973289833,24
13,4,1117676.1660559175,30.072,1117646.0940559176,24
13,4,1117676.1816790104,30.087,1117646.0946790103,24
11,4,1117676.30499506,30.032,1117646.27299506,24
11,4,1117676.30499506,30.032,1117646.27299506,24
11,4,1117676.5566449163,30.039,1117646.5176449162,24
13,4,1117676.56584692,30.042,1117646.52384692,24
13,4,1117676.550205946,30.026,1117646.524205946,24
11,4,1117676.5566449163,30.024,1117646.5326449163,24
11,4,1117676.6263139248,30.065,1117646.5613139248,24
11,4,1117676.6263139248,30.065,1117646.5613139248,24
13,4,1117677.3380410671,30.228,1117647.1100410672,24
13,4,1117677.3380410671,30.228,1117647.1100410672,24
11,4,1117677.562760115,30.08,1117647.4827601148,24
11,4,1117677.562760115,30.08,1117647.4827601148,24
13,4,1117677.7272601128,30.042,1117647.6852601129,24
13,4,1117677.7272601128,30.042,1117647.6852601129,24
11,4,1117677.9046680927,30.023,1117647.8816680927,24
11,4,1117677.9046680927,30.023,1117647.8816680927,24
13,4,1117677.9769461155,30.022,1117647.9549461154,24
13,4,1117677.9769461155,30.022,1117647.9549461154,24
11,4,1117678.015253067,30.033,1117647.982253067,24
11,4,1117678.015253067,30.033,1117647.982253067,24
11,4,1117678.032387972,30.049,1117647.983387972,24
11,4,1117678.032387972,30.049,1117647.983387972,24
13,4,1117678.209790945,30.047,1117648.162790945,24
13,4,1117678.209790945,30.047,1117648.162790945,24
11,4,1117678.286411047,30.034,1117648.252411047,24
11,4,1117678.286411047,30.034,1117648.252411047,24
13,4,1117678.618227959,30.04,1117648.5782279589,24
13,4,1117678.6008028984,30.022,1117648.5788028983,24
11,4,1117678.6210870745,30.024,1117648.5970870745,24
11,4,1117678.6210870745,30.024,1117648.5970870745,24
11,4,1117679.049284935,30.042,1117649.007284935,24
11,4,1117679.049284935,30.026,1117649.023284935,24
11,4,1117679.335016966,30.025,1117649.3100169662,24
11,4,1117679.335016966,30.025,1117649.3100169662,24
11,4,1117679.4324901104,30.025,1117649.4074901105,24
11,4,1117679.4324901104,30.025,1117649.4074901105,24
11,4,1117679.4707369804,30.02,1117649.4507369804,24
11,4,1117679.4707369804,30.02,1117649.4507369804,24
11,4,1117679.5703380108,30.031,1117649.5393380108,24
11,4,1117679.5703380108,30.031,1117649.5393380108,24
11,4,1117679.5876541138,30.033,1117649.5546541137,24
